Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_Random,Hard-to-Contrast,Random,20,79.0,79.0,79.0,79.0,79.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,30,78.0,84.0,82.0,83.0,81.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,40,81.0,88.0,83.0,81.0,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,50,81.0,88.0,83.0,85.0,85.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,60,82.0,88.0,85.0,86.0,86.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,70,86.0,87.0,85.0,85.0,87.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,80,88.0,89.0,87.0,86.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,90,86.0,88.0,87.0,85.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,100,89.0,89.0,87.0,86.0,88.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,110,88.0,89.0,88.0,86.0,90.0
Hard-to-Contrast_Random,Hard-to-Contrast,Random,120,90.0,90.0,89.0,88.0,91.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,69.0,69.0,69.0,69.0,69.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,71.0,68.0,71.0,73.0,77.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,78.0,77.0,76.0,78.0,77.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,81.0,77.0,79.0,80.0,82.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,83.0,85.0,84.0,84.0,83.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,87.0,85.0,86.0,84.0,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,88.0,86.0,89.0,84.0,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,89.0,86.0,89.0,86.0,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,89.0,88.0,90.0,88.0,89.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,88.0,90.0,90.0,88.0,90.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,120,89.0,90.0,90.0,87.0,90.0
Easy-to-Learn_Random,Easy-to-Learn,Random,20,44.0,44.0,44.0,44.0,44.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,60.0,61.0,56.00000000000001,62.0,62.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,71.0,74.0,74.0,69.0,70.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,78.0,76.0,74.0,74.0,76.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,79.0,78.0,82.0,74.0,75.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,81.0,83.0,83.0,76.0,84.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,84.0,84.0,85.0,80.0,84.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,85.0,85.0,87.0,81.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,85.0,86.0,87.0,82.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,85.0,87.0,87.0,85.0,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,120,88.0,88.0,89.0,86.0,88.0
Consistency_Random,Consistency,Random,20,72.0,72.0,72.0,72.0,72.0
Consistency_Random,Consistency,Random,30,76.0,76.0,74.0,75.0,73.0
Consistency_Random,Consistency,Random,40,79.0,78.0,80.0,78.0,81.0
Consistency_Random,Consistency,Random,50,84.0,80.0,81.0,80.0,80.0
Consistency_Random,Consistency,Random,60,85.0,81.0,82.0,78.0,79.0
Consistency_Random,Consistency,Random,70,87.0,79.0,85.0,81.0,83.0
Consistency_Random,Consistency,Random,80,89.0,81.0,86.0,82.0,85.0
Consistency_Random,Consistency,Random,90,90.0,81.0,87.0,82.0,87.0
Consistency_Random,Consistency,Random,100,90.0,88.0,85.0,83.0,89.0
Consistency_Random,Consistency,Random,110,89.0,88.0,88.0,83.0,90.0
Consistency_Random,Consistency,Random,120,90.0,87.0,88.0,83.0,91.0
Entropy_Random,Entropy,Random,20,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001
Entropy_Random,Entropy,Random,30,68.0,73.0,64.0,60.0,72.0
Entropy_Random,Entropy,Random,40,69.0,74.0,80.0,71.0,69.0
Entropy_Random,Entropy,Random,50,72.0,76.0,78.0,81.0,77.0
Entropy_Random,Entropy,Random,60,73.0,80.0,79.0,83.0,81.0
Entropy_Random,Entropy,Random,70,80.0,80.0,79.0,86.0,81.0
Entropy_Random,Entropy,Random,80,84.0,82.0,82.0,86.0,81.0
Entropy_Random,Entropy,Random,90,85.0,81.0,88.0,88.0,81.0
Entropy_Random,Entropy,Random,100,86.0,86.0,90.0,87.0,84.0
Entropy_Random,Entropy,Random,110,86.0,89.0,90.0,89.0,87.0
Entropy_Random,Entropy,Random,120,87.0,89.0,91.0,90.0,87.0
Margin_Random,Margin,Random,20,70.0,70.0,70.0,70.0,70.0
Margin_Random,Margin,Random,30,78.0,75.0,74.0,74.0,76.0
Margin_Random,Margin,Random,40,81.0,75.0,80.0,77.0,78.0
Margin_Random,Margin,Random,50,81.0,77.0,84.0,82.0,85.0
Margin_Random,Margin,Random,60,81.0,78.0,86.0,87.0,86.0
Margin_Random,Margin,Random,70,81.0,84.0,87.0,89.0,86.0
Margin_Random,Margin,Random,80,81.0,84.0,88.0,90.0,88.0
Margin_Random,Margin,Random,90,84.0,85.0,88.0,91.0,87.0
Margin_Random,Margin,Random,100,85.0,88.0,87.0,91.0,88.0
Margin_Random,Margin,Random,110,84.0,90.0,90.0,91.0,88.0
Margin_Random,Margin,Random,120,88.0,90.0,90.0,92.0,88.0
BALD_Random,BALD,Random,20,61.0,61.0,61.0,61.0,61.0
BALD_Random,BALD,Random,30,62.0,67.0,78.0,71.0,70.0
BALD_Random,BALD,Random,40,70.0,75.0,74.0,72.0,76.0
BALD_Random,BALD,Random,50,81.0,80.0,78.0,80.0,78.0
BALD_Random,BALD,Random,60,80.0,85.0,78.0,83.0,80.0
BALD_Random,BALD,Random,70,85.0,86.0,81.0,84.0,82.0
BALD_Random,BALD,Random,80,85.0,87.0,82.0,84.0,83.0
BALD_Random,BALD,Random,90,87.0,88.0,88.0,85.0,84.0
BALD_Random,BALD,Random,100,89.0,90.0,89.0,88.0,85.0
BALD_Random,BALD,Random,110,90.0,89.0,88.0,89.0,88.0
BALD_Random,BALD,Random,120,90.0,90.0,89.0,90.0,89.0
VAAL_Random,VAAL,Random,20,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999
VAAL_Random,VAAL,Random,30,61.0,66.0,65.0,63.0,65.0
VAAL_Random,VAAL,Random,40,68.0,71.0,74.0,69.0,70.0
VAAL_Random,VAAL,Random,50,80.0,76.0,76.0,75.0,73.0
VAAL_Random,VAAL,Random,60,80.0,80.0,79.0,86.0,81.0
VAAL_Random,VAAL,Random,70,82.0,81.0,79.0,86.0,79.0
VAAL_Random,VAAL,Random,80,83.0,87.0,86.0,88.0,82.0
VAAL_Random,VAAL,Random,90,85.0,87.0,88.0,89.0,85.0
VAAL_Random,VAAL,Random,100,86.0,88.0,88.0,90.0,88.0
VAAL_Random,VAAL,Random,110,86.0,90.0,87.0,90.0,85.0
VAAL_Random,VAAL,Random,120,87.0,90.0,89.0,91.0,88.0
Coreset_Random,Coreset,Random,20,61.0,61.0,61.0,61.0,61.0
Coreset_Random,Coreset,Random,30,68.0,64.0,68.0,68.0,66.0
Coreset_Random,Coreset,Random,40,75.0,75.0,74.0,75.0,69.0
Coreset_Random,Coreset,Random,50,78.0,79.0,73.0,80.0,77.0
Coreset_Random,Coreset,Random,60,85.0,80.0,75.0,80.0,77.0
Coreset_Random,Coreset,Random,70,84.0,81.0,75.0,82.0,82.0
Coreset_Random,Coreset,Random,80,82.0,83.0,78.0,84.0,83.0
Coreset_Random,Coreset,Random,90,86.0,83.0,85.0,84.0,83.0
Coreset_Random,Coreset,Random,100,87.0,83.0,85.0,86.0,84.0
Coreset_Random,Coreset,Random,110,89.0,85.0,87.0,87.0,86.0
Coreset_Random,Coreset,Random,120,89.0,85.0,87.0,86.0,86.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,79.0,79.0,79.0,79.0,79.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,83.0,84.0,80.0,81.0,83.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,84.0,87.0,82.0,84.0,87.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,87.0,89.0,84.0,82.0,87.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,87.0,89.0,86.0,85.0,87.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,89.0,91.0,89.0,86.0,88.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,90.0,91.0,90.0,86.0,88.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,88.0,92.0,90.0,86.0,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,90.0,90.0,92.0,87.0,91.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,91.0,90.0,92.0,87.0,91.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,120,91.0,91.0,93.0,88.0,92.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,20,69.0,69.0,69.0,69.0,69.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,30,75.0,77.0,70.0,74.0,73.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,40,82.0,81.0,77.0,82.0,73.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,50,83.0,84.0,70.0,81.0,77.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,60,86.0,86.0,80.0,79.0,79.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,70,90.0,88.0,83.0,78.0,77.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,80,90.0,90.0,86.0,80.0,80.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,90,90.0,91.0,87.0,83.0,82.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,100,92.0,90.0,90.0,86.0,80.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,110,91.0,92.0,90.0,88.0,83.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,120,92.0,92.0,91.0,91.0,89.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,20,44.0,44.0,44.0,44.0,44.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,30,64.0,60.0,67.0,68.0,57.99999999999999
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,40,67.0,66.0,68.0,64.0,70.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,50,70.0,70.0,69.0,71.0,66.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,60,71.0,70.0,73.0,73.0,71.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,70,79.0,73.0,74.0,74.0,74.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,80,81.0,71.0,77.0,74.0,77.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,90,82.0,73.0,77.0,76.0,78.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,100,83.0,77.0,77.0,78.0,81.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,110,84.0,80.0,80.0,81.0,82.0
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,120,85.0,86.0,79.0,83.0,85.0
Consistency_Entropy,Consistency,Entropy,20,72.0,72.0,72.0,72.0,72.0
Consistency_Entropy,Consistency,Entropy,30,78.0,74.0,72.0,71.0,72.0
Consistency_Entropy,Consistency,Entropy,40,79.0,76.0,73.0,75.0,77.0
Consistency_Entropy,Consistency,Entropy,50,80.0,77.0,80.0,76.0,82.0
Consistency_Entropy,Consistency,Entropy,60,84.0,77.0,80.0,80.0,82.0
Consistency_Entropy,Consistency,Entropy,70,85.0,85.0,82.0,82.0,80.0
Consistency_Entropy,Consistency,Entropy,80,87.0,86.0,83.0,81.0,80.0
Consistency_Entropy,Consistency,Entropy,90,86.0,88.0,83.0,83.0,82.0
Consistency_Entropy,Consistency,Entropy,100,87.0,89.0,84.0,84.0,83.0
Consistency_Entropy,Consistency,Entropy,110,89.0,88.0,84.0,88.0,83.0
Consistency_Entropy,Consistency,Entropy,120,90.0,89.0,84.0,90.0,85.0
Entropy_Entropy,Entropy,Entropy,20,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001
Entropy_Entropy,Entropy,Entropy,30,57.99999999999999,60.0,64.0,59.0,57.99999999999999
Entropy_Entropy,Entropy,Entropy,40,68.0,67.0,64.0,68.0,65.0
Entropy_Entropy,Entropy,Entropy,50,72.0,73.0,68.0,74.0,74.0
Entropy_Entropy,Entropy,Entropy,60,74.0,77.0,69.0,77.0,79.0
Entropy_Entropy,Entropy,Entropy,70,77.0,80.0,76.0,79.0,81.0
Entropy_Entropy,Entropy,Entropy,80,78.0,81.0,81.0,86.0,82.0
Entropy_Entropy,Entropy,Entropy,90,78.0,79.0,81.0,85.0,82.0
Entropy_Entropy,Entropy,Entropy,100,77.0,83.0,81.0,87.0,84.0
Entropy_Entropy,Entropy,Entropy,110,80.0,84.0,79.0,88.0,83.0
Entropy_Entropy,Entropy,Entropy,120,81.0,86.0,83.0,90.0,83.0
Margin_Entropy,Margin,Entropy,20,70.0,70.0,70.0,70.0,70.0
Margin_Entropy,Margin,Entropy,30,71.0,70.0,61.0,69.0,68.0
Margin_Entropy,Margin,Entropy,40,78.0,68.0,67.0,78.0,66.0
Margin_Entropy,Margin,Entropy,50,80.0,83.0,71.0,80.0,74.0
Margin_Entropy,Margin,Entropy,60,81.0,84.0,76.0,79.0,82.0
Margin_Entropy,Margin,Entropy,70,85.0,85.0,76.0,84.0,81.0
Margin_Entropy,Margin,Entropy,80,85.0,88.0,80.0,86.0,84.0
Margin_Entropy,Margin,Entropy,90,90.0,86.0,81.0,90.0,84.0
Margin_Entropy,Margin,Entropy,100,91.0,90.0,81.0,90.0,85.0
Margin_Entropy,Margin,Entropy,110,91.0,91.0,81.0,92.0,84.0
Margin_Entropy,Margin,Entropy,120,93.0,92.0,83.0,91.0,86.0
BALD_Entropy,BALD,Entropy,20,61.0,61.0,61.0,61.0,61.0
BALD_Entropy,BALD,Entropy,30,60.0,60.0,57.99999999999999,61.0,68.0
BALD_Entropy,BALD,Entropy,40,68.0,60.0,74.0,65.0,75.0
BALD_Entropy,BALD,Entropy,50,75.0,67.0,76.0,69.0,76.0
BALD_Entropy,BALD,Entropy,60,72.0,73.0,78.0,76.0,78.0
BALD_Entropy,BALD,Entropy,70,78.0,79.0,81.0,79.0,81.0
BALD_Entropy,BALD,Entropy,80,77.0,84.0,82.0,81.0,79.0
BALD_Entropy,BALD,Entropy,90,79.0,86.0,87.0,82.0,83.0
BALD_Entropy,BALD,Entropy,100,81.0,89.0,87.0,85.0,84.0
BALD_Entropy,BALD,Entropy,110,80.0,89.0,88.0,87.0,90.0
BALD_Entropy,BALD,Entropy,120,82.0,90.0,89.0,88.0,90.0
VAAL_Entropy,VAAL,Entropy,20,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999
VAAL_Entropy,VAAL,Entropy,30,73.0,62.0,66.0,69.0,65.0
VAAL_Entropy,VAAL,Entropy,40,74.0,59.0,71.0,71.0,75.0
VAAL_Entropy,VAAL,Entropy,50,72.0,61.0,74.0,71.0,78.0
VAAL_Entropy,VAAL,Entropy,60,75.0,66.0,82.0,75.0,76.0
VAAL_Entropy,VAAL,Entropy,70,75.0,66.0,81.0,82.0,78.0
VAAL_Entropy,VAAL,Entropy,80,79.0,76.0,82.0,83.0,78.0
VAAL_Entropy,VAAL,Entropy,90,79.0,78.0,84.0,84.0,80.0
VAAL_Entropy,VAAL,Entropy,100,81.0,81.0,89.0,87.0,82.0
VAAL_Entropy,VAAL,Entropy,110,82.0,81.0,90.0,88.0,82.0
VAAL_Entropy,VAAL,Entropy,120,83.0,81.0,91.0,88.0,84.0
Coreset_Entropy,Coreset,Entropy,20,61.0,61.0,61.0,61.0,61.0
Coreset_Entropy,Coreset,Entropy,30,65.0,70.0,67.0,62.0,66.0
Coreset_Entropy,Coreset,Entropy,40,65.0,68.0,69.0,68.0,63.0
Coreset_Entropy,Coreset,Entropy,50,67.0,66.0,70.0,68.0,66.0
Coreset_Entropy,Coreset,Entropy,60,71.0,75.0,74.0,74.0,67.0
Coreset_Entropy,Coreset,Entropy,70,82.0,78.0,69.0,78.0,73.0
Coreset_Entropy,Coreset,Entropy,80,84.0,80.0,77.0,78.0,81.0
Coreset_Entropy,Coreset,Entropy,90,83.0,79.0,74.0,80.0,83.0
Coreset_Entropy,Coreset,Entropy,100,83.0,82.0,77.0,83.0,85.0
Coreset_Entropy,Coreset,Entropy,110,84.0,83.0,79.0,83.0,83.0
Coreset_Entropy,Coreset,Entropy,120,81.0,85.0,79.0,86.0,86.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,20,79.0,79.0,79.0,79.0,79.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,30,84.0,83.0,81.0,84.0,82.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,40,87.0,87.0,83.0,88.0,83.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,50,89.0,87.0,84.0,89.0,87.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,60,91.0,87.0,87.0,90.0,89.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,70,89.0,89.0,88.0,92.0,90.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,80,90.0,89.0,90.0,91.0,91.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,90,91.0,90.0,91.0,93.0,92.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,100,91.0,90.0,91.0,94.0,91.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,110,92.0,91.0,91.0,93.0,93.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,120,93.0,91.0,91.0,93.0,93.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,20,69.0,69.0,69.0,69.0,69.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,30,74.0,74.0,71.0,71.0,73.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,40,76.0,78.0,76.0,70.0,83.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,50,86.0,86.0,77.0,80.0,85.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,60,86.0,88.0,79.0,84.0,85.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,70,86.0,89.0,81.0,85.0,85.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,80,87.0,90.0,84.0,87.0,88.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,90,89.0,91.0,88.0,90.0,90.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,100,90.0,92.0,90.0,92.0,92.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,110,91.0,92.0,90.0,91.0,92.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,120,91.0,92.0,92.0,92.0,92.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,20,44.0,44.0,44.0,44.0,44.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,30,57.99999999999999,62.0,56.99999999999999,63.0,59.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,40,64.0,69.0,74.0,68.0,68.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,50,73.0,72.0,75.0,74.0,71.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,60,76.0,81.0,82.0,76.0,79.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,70,80.0,83.0,82.0,79.0,86.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,80,78.0,84.0,81.0,80.0,85.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,90,80.0,85.0,84.0,81.0,87.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,100,80.0,84.0,86.0,87.0,89.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,110,85.0,87.0,88.0,91.0,90.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,120,86.0,88.0,89.0,90.0,90.0
Consistency_Margin,Consistency,Margin,20,72.0,72.0,72.0,72.0,72.0
Consistency_Margin,Consistency,Margin,30,83.0,78.0,78.0,77.0,82.0
Consistency_Margin,Consistency,Margin,40,78.0,80.0,79.0,79.0,80.0
Consistency_Margin,Consistency,Margin,50,84.0,80.0,85.0,85.0,88.0
Consistency_Margin,Consistency,Margin,60,86.0,80.0,86.0,87.0,88.0
Consistency_Margin,Consistency,Margin,70,86.0,84.0,89.0,88.0,88.0
Consistency_Margin,Consistency,Margin,80,86.0,86.0,91.0,88.0,89.0
